Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
245;9;6;Kevin Vogt;D;27;1;1;
246;9;14;Jan Morávek;CZE;16;0;1;
247;9;8;Raphael Holzhauser;A;13;0;1;
248;9;11;Alexander Esswein;D;12;0;1;
249;9;21;Dominik Kohr;D;8;0;0;
250;9;39;Erik Thommy;D;1;0;0;
251;9;16;Andreas Ottl;D;0;0;0;
252;9;29;Moritz Nebel;D;0;0;0;
253;9;33;Sascha Mölders;D;22;2;0;
254;9;9;Arkadiusz Milik;PL;18;2;0;
255;9;25;Raul Bobadilla;ARG;16;3;0;
256;9;24;Dong-Won Ji;KOR;11;1;0;
257;9;0;Mathias Fetsch;D;1;0;0;
258;9;0;Panagiotis Vlachodimos;D;1;0;0;
259;9;31;Arif Ekin;D;0;0;0;
260;9;34;Bayram Nebihi;D;0;0;0;
261;10;30;Koen Casteels;B;23;0;0;
262;10;13;Jens Grahl;D;10;0;0;
263;10;28;Alexander Stolz;D;1;0;0;
264;10;26;Tim Paterok;D;0;0;0;
265;10;0;Tim Wiese;D;0;0;0;
266;10;2;Andreas Beck;D;32;1;2;
267;10;16;Fabian Johnson;D;26;0;3;
268;10;29;Jannik Vestergaard;DEN;25;1;1;
269;10;25;Niklas Süle;D;24;4;0;
270;10;19;David Abraham;ARG;19;2;0;
271;10;36;Jeremy Toljan;D;9;0;0;
272;10;4;Stefan Thesker;D;2;0;0;
273;10;3;Matthias Jaissle;D;0;0;0;
274;10;21;Kevin Akpoguma;D;0;0;0;
275;10;24;Patrick Schorr;D;0;0;0;
276;10;28;Pelle Jensen;D;0;0;0;
277;10;0;Edson Braafheid;NL;0;0;0;
278;10;0;Matthieu Delpierre;F;0;0;0;
279;10;0;Romario;BRA;0;0;0;
280;10;10;Roberto Firmino;BRA;32;15;11;
281;10;8;Eugen Polanski;PL/D;31;3;2;
282;10;12;Tobias Strobl;D;28;1;0;
283;10;23;Sejad Salihovic;BOS;27;11;5;
284;10;6;Sebastian Rudy;D;26;1;4;
285;10;9;Kai Herdling;D;23;2;3;
286;10;14;Tarik Elyounoussi;NOR;21;0;3;
287;10;11;Jiloan Hamad;SWE;5;0;0;
288;10;33;Robin Szarka;D;2;0;0;
289;10;0;Joseph-Claude Gyau;USA/GHA;2;0;0;
290;10;22;Bruno Nazario;BRA;1;0;0;
291;10;7;Boris Vukcevic;D;0;0;0;
292;10;20;Ahmed Sassi;TUN;0;0;0;
293;10;0;Vincenzo Grifo;D/I;0;0;0;
294;10;0;Andreas Ludwig;D;0;0;0;
295;10;0;Tobias Weis;D;0;0;0;
296;10;31;Kevin Volland;D;32;10;6;
297;10;27;Anthony Modeste;F;29;12;2;
298;10;9;Sven Schipplock;D;23;6;4;
299;10;34;Kenan Karaman;D/TUR;5;0;0;
300;10;0;Eren Derdiyok;CH;0;0;0;
301;8;1;Thomas Kraft;D;31;0;0;
302;8;22;Rune Jarstein;NOR;1;0;0;
303;8;0;Marius Gersbeck;D;1;0;0;
304;8;21;Sascha Burchert;D;0;0;0;
305;8;37;Philip Sprint;D;0;0;0;
306;8;2;Peter Pekarik;SVK;30;0;2;
307;8;15;Sebastian Langkamp;D;28;0;0;
308;8;23;Johannes van den Bergh;D;25;0;1;
309;8;28;Fabian Lustenberger;CH;19;0;0;
310;8;8;Marcel Ndjeng;D;16;0;0;
311;8;25;John Brooks;D;15;2;0;
312;8;3;Levan Kobiashvili;GEO;14;1;0;
313;8;6;Christoph Janker;D;5;0;0;
314;8;32;Fabian Holland;D;3;0;0;
315;8;4;Roman Hubnik;CZE;0;0;0;
316;8;5;Maik Franz;D;0;0;0;
317;8;7;Hajime Hosogai;JAP;32;0;1;
318;8;12;Ronny;BRA;27;4;4;
319;8;13;Per Skjelbred;NOR;27;2;6;
320;8;26;Nico Schulz;D;22;0;1;
321;8;10;Änis Ben-Hatira;D;21;3;2;
322;8;17;Tolga Cigerci;TUR;19;1;3;
323;8;18;Peter Niemeyer;D;19;0;0;
324;8;9;Alexander Baumjohann;D;9;0;4;
325;8;34;Hany Mukhtar;D;9;0;0;
